Indian Test cricketers,Batting,Bowling,Fielding,Cap,Name,First,Last,Mat,Runs,HS,Avg,100/50,Wkt,BBI,Ave,5/10 wicket,Ca,St
,,,,,,1970-01-01,1970-01-01,0.0,0.0,,0.0,,0.0,0,0,0,0,0
1,Amar Singh,1932,1936,7,292,,,0.0,28.0,7/86,30.64,2/0,3.0,0,0,0,0,0
2,Sorabji Colah,1932,1933,2,69,,,0.0,0.0,,0.0,,2.0,0,0,0,0,0
3,Jahangir Khan,1932,1936,4,39,,,0.0,4.0,4/60,63.75,0/0,4.0,0,0,0,0,0
4,Lall Singh,1932,1932,1,44,,,0.0,0.0,,0.0,,1.0,0,0,0,0,0
5,Naoomal Jeoomal,1932,1934,3,108,,,0.0,2.0,1/4,34.0,0/0,0.0,0,0,0,0,0
6,Janardan Navle,1932,1933,2,42,,,0.0,0.0,,0.0,,1.0,0,0,0,0,0
7,C. K. Nayudu,1932,1936,7,350,,,0.0,9.0,3/40,42.88,0/0,4.0,0,0,0,0,0
8,Nazir Ali,1932,1934,2,30,,,0.0,4.0,4/83,20.75,0/0,0.0,0,0,0,0,0
9,Mohammad Nissar,1932,1936,6,55,,,0.0,25.0,5/90,28.28,3/0,2.0,0,0,0,0,0
10,Phiroze Palia,1932,1936,2,29,,,0.0,0.0,,0.0,0/0,0.0,0,0,0,0,0
11,Wazir Ali,1932,1936,7,237,,,0.0,0.0,,0.0,0/0,1.0,0,0,0,0,0
12,Lala Amarnath,1933,1952,24,878,,,0.0,45.0,5/96,32.91,2/0,13.0,0,0,0,0,0
13,L. P. Jai,1933,1933,1,19,,,0.0,0.0,,0.0,,0.0,0,0,0,0,0
14,Rustomji Jamshedji,1933,1933,1,5,,1970-01-01,0.0,3.0,3/137,45.66,0/0,2.0,0,0,0,0,0
15,Vijay Merchant,1933,1951,10,859,,,0.0,0.0,,0.0,0/0,7.0,0,0,0,0,0
16,Ladha Ramji,1933,1933,1,1,,,0.0,0.0,,0.0,0/0,1.0,0,0,0,0,0
17,Dilawar Hussain,1934,1936,3,254,,,0.0,0.0,,0.0,,6.0,1,0,0,0,0
18,M. J. Gopalan,1934,1934,1,18,,,0.0,1.0,1/39,39.0,0/0,3.0,0,0,0,0,0
19,Mushtaq Ali,1934,1952,11,612,,,0.0,3.0,1/45,67.33,0/0,7.0,0,0,0,0,0
20,C. S. Nayudu,1934,1952,11,147,,,0.0,2.0,1/19,179.5,0/0,3.0,0,0,0,0,0
21,Yadavindra Singh,1934,1934,1,84,,,0.0,0.0,,0.0,,2.0,0,0,0,0,0
22,Dattaram Hindlekar,1936,1946,4,71,,,0.0,0.0,,0.0,,3.0,0,0,0,0,0
23,Vijay Ananda Gajapathi Raju,1936,1936,3,33,,,0.0,0.0,,0.0,,1.0,0,0,0,0,0
24,Khershed Meherhomji,1936,1936,1,0,,1970-01-01,0.0,0.0,,0.0,,1.0,0,0,0,0,0
25,Cotah Ramaswami,1936,1936,2,170,,,0.0,0.0,,0.0,,0.0,0,0,0,0,0
26,Baqa Jilani,1936,1936,1,16,,,0.0,0.0,,0.0,0/0,0.0,0,0,0,0,0
27,Gul Mohammad[a],1946,1952,8[b],166,,,0.0,2.0,2/21,12.0,0/0,3.0,0,0,0,0,0
28,Vijay Hazare,1946,1953,30,2192,,,0.0,20.0,4/29,61.0,0/0,11.0,0,0,0,0,0
29,Abdul Hafeez[c],1946,1946,3[b],80,,,0.0,0.0,,0.0,,0.0,0,0,0,0,0
30,Vinoo Mankad,1946,1959,44,2109,,,0.0,162.0,8/52,32.32,8/2,33.0,0,0,0,0,0
31,Rusi Modi,1946,1952,10,736,,,0.0,0.0,,0.0,0/0,3.0,0,0,0,0,0
32,Nawab of Pataudi Sr,1946,1946,3[d],55,,,0.0,0.0,,0.0,,1.0,0,0,0,0,0
33,Sadashiv Shinde,1946,1952,7,85,,,0.0,12.0,6/91,59.75,1/0,0.0,0,0,0,0,0
34,Chandu Sarwate,1946,1951,9,208,,,0.0,3.0,1/16,124.66,0/0,0.0,0,0,0,0,0
35,Ranga Sohoni,1946,1951,4,83,,,0.0,2.0,1/16,101.0,0/0,2.0,0,0,0,0,0
36,Hemu Adhikari,1947,1959,21,872,,,0.0,3.0,3/68,27.33,0/0,8.0,0,0,0,0,0
37,Jenni Irani,1947,1947,2,3,,,0.0,0.0,,0.0,,2.0,1,0,0,0,0
38,Gogumal Kishenchand,1947,1952,5,89,,,0.0,0.0,,0.0,,1.0,0,0,0,0,0
39,Khandu Rangnekar,1947,1948,3,33,,,0.0,0.0,,0.0,,1.0,0,0,0,0,0
40,Amir Elahi,1947,1947,1[b],17,,,0.0,0.0,,0.0,,0.0,0,0,0,0,0
41,Dattu Phadkar,1947,1959,31,1229,,,0.0,62.0,7/159,36.85,3/0,21.0,0,0,0,0,0
42,Kanwar Rai Singh,1948,1948,1,26,,,0.0,0.0,,0.0,,0.0,0,0,0,0,0
43,Probir Sen,1948,1952,14,165,,,0.0,0.0,,0.0,,20.0,11,0,0,0,0
44,C. R. Rangachari,1948,1948,4,8,,,0.0,9.0,5/107,54.77,1/0,0.0,0,0,0,0,0
45,Khanmohammad Ibrahim,1948,1949,4,169,,,0.0,0.0,,0.0,,0.0,0,0,0,0,0
46,Keki Tarapore,1948,1948,1,2,,,0.0,0.0,,0.0,0/0,0.0,0,0,0,0,0
47,Polly Umrigar,1948,1962,59,3631,,,0.0,35.0,6/74,42.08,2/0,33.0,0,0,0,0,0
48,Montu Banerjee,1949,1949,1,0,,,0.0,5.0,4/120,36.2,0/0,3.0,0,0,0,0,0
49,Ghulam Ahmed,1949,1959,22,192,,,0.0,68.0,7/49,30.17,4/1,11.0,0,0,0,0,0
50,Nirode Chowdhury,1949,1951,2,3,,,0.0,1.0,1/130,205.0,0/0,0.0,0,0,0,0,0
51,Madhusudan Rege,1949,1949,1,15,,,0.0,0.0,,0.0,,1.0,0,0,0,0,0
52,Shute Banerjee,1949,1949,1,13,,,0.0,5.0,4/54,25.4,0/0,0.0,0,0,0,0,0
53,Nana Joshi,1951,1960,12,207,,,0.0,0.0,,0.0,,18.0,9,0,0,0,0
54,Pankaj Roy,1951,1960,43,2442,,,0.0,1.0,1/6,66.0,0/0,16.0,0,0,0,0,0
55,C. D. Gopinath,1951,1960,8,242,,,0.0,1.0,1/11,11.0,0/0,2.0,0,0,0,0,0
56,Madhav Mantri,1951,1955,4,67,,,0.0,0.0,,0.0,,8.0,1,0,0,0,0
57,Buck Divecha,1952,1952,5,60,,,0.0,11.0,3/102,32.81,0/0,5.0,0,0,0,0,0
58,Subhash Gupte,1952,1961,36,183,,,0.0,149.0,9/102,29.55,12/1,14.0,0,0,0,0,0
59,Vijay Manjrekar,1952,1965,55,3208,,,0.0,1.0,1/16,44.0,0/0,19.0,2,0,0,0,0
60,Datta Gaekwad,1952,1961,11,350,,,0.0,0.0,,0.0,0/0,5.0,0,0,0,0,0
61,Gulabrai Ramchand,1952,1960,33,1180,,,0.0,41.0,6/49,46.31,1/0,20.0,0,0,0,0,0
62,Hiralal Gaekwad,1952,1952,1,22,,,0.0,0.0,,0.0,0/0,0.0,0,0,0,0,0
63,Shah Nyalchand,1952,1952,1,7,,,0.0,3.0,3/97,32.33,0/0,0.0,0,0,0,0,0
64,Madhav Apte,1952,1953,7,542,,,0.0,0.0,,0.0,0/0,2.0,0,0,0,0,0
65,Bal Dani,1952,1952,1,,1970-01-01,1970-01-01,0.0,1.0,1/9,19.0,0/0,1.0,0,0,0,0,0
66,Vijay Rajindernath,1952,1952,1,,1970-01-01,1970-01-01,0.0,0.0,,0.0,,0.0,4,0,0,0,0
67,Ebrahim Maka,1952,1953,2,2,,1970-01-01,0.0,0.0,,0.0,,2.0,1,0,0,0,0
68,Deepak Shodhan,1952,1953,3,181,,,0.0,0.0,,0.0,0/0,1.0,0,0,0,0,0
69,Chandrasekhar Gadkari,1953,1955,6,129,,,0.0,0.0,,0.0,0/0,6.0,0,0,0,0,0
70,Jayasinghrao Ghorpade,1953,1959,8,229,,,0.0,0.0,,0.0,0/0,4.0,0,0,0,0,0
71,Pananmal Punjabi,1955,1955,5,164,,,0.0,0.0,,0.0,,5.0,0,0,0,0,0
72,Naren Tamhane,1955,1961,21,225,,,0.0,0.0,,0.0,,35.0,16,0,0,0,0
73,Prakash Bhandari,1955,1956,3,77,,,0.0,0.0,,0.0,0/0,1.0,0,0,0,0,0
74,Jasu Patel,1955,1960,7,25,,,0.0,29.0,9/69,21.96,2/1,2.0,0,0,0,0,0
75,A. G. Kripal Singh,1955,1964,14,422,,,0.0,10.0,3/43,58.4,0/0,4.0,0,0,0,0,0
76,Narain Swamy,1955,1955,1,,1970-01-01,1970-01-01,0.0,0.0,,0.0,0/0,0.0,0,0,0,0,0
77,Nari Contractor,1955,1962,31,1611,,,0.0,1.0,1/9,80.0,0/0,18.0,0,0,0,0,0
78,Vijay Mehra,1955,1964,8,329,,,0.0,0.0,,0.0,0/0,1.0,0,0,0,0,0
79,Sadashiv Patil,1955,1955,1,14,,1970-01-01,0.0,2.0,1/15,25.5,0/0,1.0,0,0,0,0,0
80,Bapu Nadkarni,1955,1968,41,1414,,,0.0,88.0,6/43,29.07,4/1,22.0,0,0,0,0,0
